p1.`gene.symbol`,p1.logFC,i.database,i.database_wnt,i.experimental,i.experimental_wnt,p2.`gene.symbol`,p2.logFC
PLEKHO1,0.274738,0.0,null,0.457,null,SMURF1,0.227937
ATP8A1,0.559165,0.54,null,0.449,null,TMEM30B,0.365946
PRKX,0.243479,0.54,null,0.0,null,PRKY,0.275413
CD5,0.504003,0.0,null,0.457,null,LCK,0.376528
TCF7L2,0.285741,0.72,null,0.0,null,TLE4,0.439975
TCF7L2,0.285741,0.5,null,0.0,null,TRRAP,0.21246
UBQLN2,0.207691,0.0,null,0.417,null,USP34,0.318009
TYROBP,0.495729,0.5,null,0.0,null,VAV3,0.25453
SYK,0.538072,0.9,null,0.886,null,TYROBP,0.495729
SYK,0.538072,0.5,null,0.0,null,VAV3,0.25453
SYK,0.538072,0.0,null,0.457,null,UBASH3B,0.35576
SYK,0.538072,0.9,null,0.0,null,ZAP70,0.277147
BCL11B,0.692351,0.0,null,0.473,null,GATAD2B,0.198319
BCL11B,0.692351,0.0,null,0.524,null,MTA3,0.368448
BCL11B,0.692351,0.72,null,0.0,null,NCR1,0.24045
MYL9,0.222691,0.5,null,0.0,null,TPM2,0.260878
HOMER1,0.517587,0.5,null,0.0,null,NRXN3,0.702632
HOMER1,0.517587,0.5,null,0.0,null,NLGN4X,0.660919
HOMER1,0.517587,0.5,null,0.0,null,NLGN4Y,0.339729
ITGA5,0.328094,0.9,null,0.0,null,ITGB7,0.302266
ITGA5,0.328094,0.9,null,0.0,null,ITGB2,0.25966
ITGA5,0.328094,0.54,null,0.0,null,ITGAM,0.30444
ITGA5,0.328094,0.9,null,0.0,null,ITGAL,0.205699
ITGA5,0.328094,0.72,null,0.0,null,VTN,0.272829
ANXA2,0.62036,0.8,null,0.0,null,DYSF,0.256384
ARHGEF7,0.805071,0.5,null,0.457,null,CBL,0.383003
ARHGEF7,0.805071,0.5,null,0.0,null,EFNB1,0.66566
ARHGEF7,0.805071,0.0,null,0.489,null,LPXN,0.289209
ARHGEF7,0.805071,0.5,null,0.0,null,SH3KBP1,0.208961
ARHGEF7,0.805071,0.0,null,0.595,null,CAMK4,0.41971
ARHGEF7,0.805071,0.5,null,0.0,null,TGFA,0.297088
ARHGEF7,0.805071,0.0,null,0.591,null,SH2D1A,0.216899
PLXNB2,0.373039,0.9,null,0.0,null,PLXNB3,0.574735
PLXNB2,0.373039,0.0,null,0.462,null,RND2,0.426379
FNBP1,0.464449,0.0,null,0.457,null,SNX2,0.251128
FNBP1,0.464449,0.5,null,0.163,null,RND2,0.426379
ITPR1,0.687271,0.9,null,0.627,null,ITPR3,0.250458
CCL5,0.759737,0.0,null,0.734,null,CXCL11,0.769776
CCL5,0.759737,0.65,null,0.0,null,CXCR6,0.508915
CCL5,0.759737,0.65,null,0.0,null,CCR6,0.376441
CCL5,0.759737,0.65,null,0.483,null,CCR1,0.25017
CCL5,0.759737,0.0,null,0.734,null,CXCL17,0.556444
CHMP2A,0.218369,0.9,null,0.702,null,CHMP4B,0.333566
CHMP2A,0.218369,0.9,null,0.0,null,VPS37A,0.294592
CBL,0.383003,0.0,null,0.457,null,CD5,0.504003
CBL,0.383003,0.5,null,0.618,null,SYK,0.538072
CBL,0.383003,0.5,null,0.0,null,SOCS2,0.576723
CBL,0.383003,0.0,null,0.457,null,PTEN,0.418171
CBL,0.383003,0.0,null,0.468,null,EPS8,0.676577
CBL,0.383003,0.8,null,0.457,null,CRKL,0.471223
CBL,0.383003,0.5,null,0.0,null,FGF5,0.18074
CBL,0.383003,0.9,null,0.457,null,TGFBR2,0.276007
CBL,0.383003,0.9,null,0.457,null,RAPGEF1,0.271922
CBL,0.383003,0.5,null,0.457,null,LCK,0.376528
CBL,0.383003,0.5,null,0.292,null,LRIG1,0.265167
CBL,0.383003,0.8,null,0.608,null,SH3KBP1,0.208961
CBL,0.383003,0.0,null,0.457,null,UBASH3B,0.35576
CBL,0.383003,0.0,null,0.96,null,ZAP70,0.277147
CBL,0.383003,0.5,null,0.482,null,PIK3CA,0.271021
CBL,0.383003,0.54,null,0.0,null,SLC6A3,0.567439
CBL,0.383003,0.5,null,0.0,null,GAB3,0.251656
CBL,0.383003,0.5,null,0.0,null,IL6ST,0.446449
CBL,0.383003,0.0,null,0.497,null,ERBB4,0.489997
CBL,0.383003,0.5,null,0.0,null,FGF2,0.437948
CBL,0.383003,0.5,null,0.0,null,TGFA,0.297088
CBL,0.383003,0.0,null,0.726,null,MST1R,0.291653
CBL,0.383003,0.0,null,0.457,null,ITSN1,0.42444
CBL,0.383003,0.5,null,0.0,null,FGF6,0.315649
CBL,0.383003,0.5,null,0.0,null,FGF10,0.36056
CBL,0.383003,0.65,null,0.0,null,FGFR3,0.218399
CBL,0.383003,0.0,null,0.457,null,CFTR,0.243087
CHMP4B,0.333566,0.0,null,0.457,null,MVP,0.242977
CHMP4B,0.333566,0.9,null,0.0,null,VPS37A,0.294592
DDX17,0.411742,0.0,null,0.457,null,FBXW7,0.334255
FOXP1,0.259451,0.8,null,0.0,null,POU5F1,0.198026
GATAD2B,0.198319,0.0,null,0.651,null,PHF20L1,0.429271
GATAD2B,0.198319,0.0,null,0.457,null,TXNIP,0.251659
GATAD2B,0.198319,0.54,null,0.731,null,MTA3,0.368448
MDFI,0.67063,0.0,null,0.421,null,PBXIP1,0.189561
SYT11,0.286681,0.5,null,0.0,null,SYT9,0.187435
MAX,0.38286,0.0,null,0.568,null,TRRAP,0.21246
MAX,0.38286,0.0,null,0.42,null,MBTD1,0.476227
MAX,0.38286,0.0,null,0.542,null,SMAD3,0.236565
EFHC1,0.238435,0.0,null,0.8,null,TEKT3,0.190797
PTEN,0.418171,0.5,null,0.457,null,USP7,0.271541
PTEN,0.418171,0.0,null,0.457,null,SLC9A3R1,0.229356
PTEN,0.418171,0.0,null,0.457,null,USP13,0.205423
CYLD,0.246297,0.5,null,0.457,null,OPTN,0.260281
DBI,0.21658,0.54,null,0.0,null,LIPC,0.488407
DBI,0.21658,0.0,null,0.479,null,LGALS3,0.3776
AIFM2,0.414301,0.281,null,0.25,null,DDO,0.185527
IL2RB,0.482015,0.5,null,0.0,null,SYK,0.538072
IL2RB,0.482015,0.9,null,0.0,null,RHOA,0.274713
IL2RB,0.482015,0.5,null,0.0,null,PTPN6,0.248021
IL2RB,0.482015,0.4,null,0.0,null,PIK3CA,0.271021
CD247,0.616572,0.9,null,0.102,null,SYK,0.538072
CD247,0.616572,0.5,null,0.0,null,HLA-DRB5,0.367507
CD247,0.616572,0.9,null,0.9,null,CD3D,0.669606
CD247,0.616572,0.5,null,0.0,null,VAV3,0.25453
CD247,0.616572,0.5,null,0.0,null,HLA-DRA,0.374253
CD247,0.616572,0.5,null,0.0,null,HLA-DPB1,0.42847
CD247,0.616572,0.5,null,0.462,null,LCK,0.376528
CD247,0.616572,0.5,null,0.0,null,HLA-DRB1,0.29988
CD247,0.616572,0.5,null,0.0,null,HLA-DPA1,0.25235
CD247,0.616572,0.9,null,0.9,null,CD3G,0.277416
CD247,0.616572,0.9,null,0.962,null,ZAP70,0.277147
CD247,0.616572,0.5,null,0.0,null,PIK3CA,0.271021
CD247,0.616572,0.5,null,0.0,null,HLA-DQB1,0.241651
CD247,0.616572,0.5,null,0.05,null,ITK,0.370003
CD247,0.616572,0.9,null,0.0,null,CD8A,0.412963
CD247,0.616572,0.5,null,0.0,null,HLA-F,0.268994
CD247,0.616572,0.9,null,0.0,null,CD4,0.459962
CD247,0.616572,0.5,null,0.0,null,HLA-DQA1,0.312064
CD247,0.616572,0.9,null,0.292,null,NCR1,0.24045
CD247,0.616572,0.9,null,0.0,null,CD8B,0.195943
CD247,0.616572,0.9,null,0.0,null,FCGR3B,0.188226
POLD4,0.278758,0.4,null,0.0,null,POLK,0.272498
POLD4,0.278758,0.5,null,0.0,null,RFC1,0.234768
IL3RA,0.438939,0.5,null,0.0,null,PTPN6,0.248021
IL3RA,0.438939,0.4,null,0.0,null,PIK3CA,0.271021
IL3RA,0.438939,0.4,null,0.0,null,IL5,0.192849
RHOA,0.274713,0.5,null,0.14,null,RTN4,0.201032
RHOA,0.274713,0.0,null,0.483,null,VAV3,0.25453
RHOA,0.274713,0.5,null,0.0,null,TGFBR2,0.276007
RHOA,0.274713,0.0,null,0.417,null,TIAM1,0.302958
RHOA,0.274713,0.5,null,0.457,null,SMURF1,0.227937
RHOA,0.274713,null,0.9,null,0.469,ROCK2,null
RHOA,0.274713,null,0.4,null,0.162,VANGL1,null
DLGAP4,0.202489,0.5,null,0.0,null,HOMER1,0.517587
DLGAP4,0.202489,0.5,null,0.0,null,NRXN3,0.702632
DLGAP4,0.202489,0.5,null,0.0,null,NLGN4X,0.660919
DLGAP4,0.202489,0.5,null,0.0,null,NLGN4Y,0.339729
DLGAP4,0.202489,0.5,null,0.0,null,GRM5,0.345324
HLA-DRB5,0.367507,0.5,null,0.0,null,LCK,0.376528
HLA-DRB5,0.367507,0.5,null,0.0,null,ZAP70,0.277147
HLA-DRB5,0.367507,0.5,null,0.0,null,ITK,0.370003
HLA-DRB5,0.367507,0.54,null,0.0,null,HLA-F,0.268994
HLA-DRB5,0.367507,0.5,null,0.0,null,SEC24D,0.257655
ATG16L1,0.415657,0.9,null,0.98,null,ATG5,0.192974
ATG16L1,0.415657,0.0,null,0.457,null,TRAF3IP3,0.189182
CD3D,0.669606,0.9,null,0.0,null,SYK,0.538072
CD3D,0.669606,0.5,null,0.0,null,HLA-DRB5,0.367507
CD3D,0.669606,0.5,null,0.0,null,HLA-DRA,0.374253
CD3D,0.669606,0.4,null,0.0,null,IL7R,0.559269
CD3D,0.669606,0.5,null,0.0,null,HLA-DPB1,0.42847
CD3D,0.669606,0.5,null,0.0,null,LCK,0.376528
CD3D,0.669606,0.5,null,0.0,null,HLA-DRB1,0.29988
CD3D,0.669606,0.5,null,0.0,null,HLA-DPA1,0.25235
CD3D,0.669606,0.9,null,0.9,null,CD3G,0.277416
CD3D,0.669606,0.9,null,0.621,null,ZAP70,0.277147
CD3D,0.669606,0.4,null,0.0,null,IGF2R,0.301153
CD3D,0.669606,0.5,null,0.0,null,HLA-DQB1,0.241651
CD3D,0.669606,0.5,null,0.0,null,ITK,0.370003
CD3D,0.669606,0.9,null,0.322,null,CD8A,0.412963
CD3D,0.669606,0.5,null,0.0,null,HLA-F,0.268994
CD3D,0.669606,0.9,null,0.0,null,CD4,0.459962
CD3D,0.669606,0.5,null,0.0,null,HLA-DQA1,0.312064
CD3D,0.669606,0.9,null,0.0,null,CD8B,0.195943
CD3D,0.669606,0.4,null,0.0,null,TF,0.47949
CD3D,0.669606,0.4,null,0.0,null,CFTR,0.243087
GNAI2,0.206293,0.65,null,0.225,null,GNB5,0.263865
GNAI2,0.206293,0.5,null,0.486,null,RGS5,0.657131
GNAI2,0.206293,0.5,null,0.271,null,RGS12,0.677052
GNAI2,0.206293,0.5,null,0.475,null,RGS19,0.204553
GNAI2,0.206293,0.65,null,0.884,null,GNG2,0.209126
GNAI2,0.206293,0.65,null,0.13,null,GNGT2,0.21966
GNAI2,0.206293,0.65,null,0.13,null,GNG12,0.301449
GNAI2,0.206293,0.5,null,0.164,null,RGS9,0.257165
GNAI2,0.206293,0.5,null,0.164,null,RGS7,0.384397
GNAI2,0.206293,0.65,null,0.661,null,GNG4,0.351324
GNAI2,0.206293,0.5,null,0.164,null,RGS6,0.288557
KLRB1,0.641799,0.9,null,0.0,null,KLRK1,0.289105
DOCK8,0.284122,0.0,null,0.663,null,LRCH1,0.277027
DOCK8,0.284122,0.0,null,0.663,null,LRCH3,0.443192
RPL28,0.205076,0.0,null,0.947,null,RPS5,0.181873
RPL28,0.205076,0.0,null,0.8,null,XBP1,0.198946
RPL28,0.205076,0.0,null,0.405,null,STT3B,0.413544
USP34,0.318009,0.0,null,0.438,null,USP9X,0.18035
HECTD1,0.333877,0.0,null,0.457,null,IQGAP1,0.225673
RNPC3,0.363459,0.9,null,0.681,null,SNRPE,0.257654
RRAGC,0.194649,0.5,null,0.0,null,TCIRG1,0.200151
RRAGC,0.194649,0.0,null,0.9,null,TFEB,0.218296
PTPN6,0.248021,0.36,null,0.457,null,SYK,0.538072
PTPN6,0.248021,0.5,null,0.0,null,TNFRSF14,0.303824
PTPN6,0.248021,0.36,null,0.292,null,ZAP70,0.277147
ISCU,0.183813,0.0,null,0.492,null,SCLY,0.405332
LAT2,0.34586,0.5,null,0.0,null,PIK3CA,0.271021
PDLIM2,0.263698,0.54,null,0.0,null,PDLIM3,0.319144
ARL3,0.291031,0.0,null,0.495,null,C20orf194,0.340569
ARL3,0.291031,0.0,null,0.947,null,UNC119,0.19388
ARL3,0.291031,0.0,null,0.422,null,YWHAH,0.234558
PSMB9,0.357485,0.0,null,0.729,null,PSMD6,0.365664
PSMB9,0.357485,0.5,null,0.079,null,UBD,0.507589
ABL1,0.187357,0.0,null,0.457,null,CBL,0.383003
ABL1,0.187357,0.0,null,0.457,null,CRKL,0.471223
ABL1,0.187357,0.0,null,0.483,null,SH3BP1,0.244245
ABL1,0.187357,0.0,null,0.457,null,MDM2,0.242444
ABL1,0.187357,0.0,null,0.46,null,YWHAH,0.234558
ABL1,0.187357,0.5,null,0.0,null,CTNNA2,0.523582
ABL1,0.187357,0.0,null,0.457,null,WASF1,0.184221
ABL1,0.187357,0.5,null,0.0,null,SLIT2,0.338354
ABL1,0.187357,0.9,null,0.457,null,ABL2,0.309729
ABL1,0.187357,0.5,null,0.0,null,CDH4,0.214972
ABL1,0.187357,0.5,null,0.0,null,CDH2,0.204991
ASS1,0.2955,0.0,null,0.421,null,SP100,0.188607
CASP1,0.307245,0.9,null,0.967,null,PYCARD,0.251501
CASP1,0.307245,0.9,null,0.457,null,NLRP1,0.202715
CASP1,0.307245,0.54,null,0.0,null,VTN,0.272829
CD47,0.290053,0.5,null,0.0,null,PTPN6,0.248021
CD47,0.290053,0.9,null,0.351,null,SIRPG,0.342491
KIF1C,0.589921,0.54,null,0.0,null,KLC1,0.293324
KIF1C,0.589921,0.54,null,0.0,null,KIF27,0.287789
KIF1C,0.589921,0.54,null,0.0,null,KIF26B,0.511685
KIF1C,0.589921,0.0,null,0.457,null,PTPN21,0.51087
KIF1C,0.589921,0.54,null,0.0,null,KIF3A,0.183256
BCL9L,0.249416,0.72,null,0.0,null,TCF7L2,0.285741
BCL9L,0.249416,0.9,null,0.0,null,TLE4,0.439975
BCL9L,0.249416,0.54,null,0.0,null,TCF7,0.585482
BCL9L,0.249416,0.5,null,0.225,null,PYGO1,0.414077
BCL9L,0.249416,0.9,null,0.0,null,TCF4,0.333407
BCL9L,0.249416,0.54,null,0.0,null,LEF1,0.22318
EPS8,0.676577,0.5,null,0.0,null,SPTBN1,0.526969
EPS8,0.676577,0.5,null,0.0,null,EZR,0.222498
EPS8,0.676577,0.8,null,0.077,null,MYO15A,0.230702
DICER1,0.230595,0.8,null,0.786,null,PRKRA,0.319638
ADD3,0.321069,0.0,null,0.57,null,GBP2,0.355018
ADD3,0.321069,0.0,null,0.669,null,ANKRD29,0.202053
AKAP11,0.389419,0.0,null,0.421,null,KLHL28,0.217298
MEF2B,0.207727,0.5,null,0.0,null,TCF4,0.333407
MEF2B,0.207727,0.9,null,0.0,null,NFATC2,0.251236
MEF2B,0.207727,0.5,null,0.0,null,MYF6,0.195684
TRIP12,0.293897,0.0,null,0.559,null,USP7,0.271541
CRKL,0.471223,0.9,null,0.457,null,RAPGEF1,0.271922
CRKL,0.471223,0.5,null,0.0,null,EPO,0.28856
CRKL,0.471223,0.0,null,0.407,null,DCP2,0.181035
CRKL,0.471223,0.0,null,0.616,null,ERBB4,0.489997
CRKL,0.471223,0.5,null,0.572,null,GAB1,0.24653
PRAME,0.641254,0.54,null,0.0,null,ZSWIM6,0.345695
MEF2A,0.260247,0.9,null,0.671,null,MEF2B,0.207727
MEF2A,0.260247,0.5,null,0.0,null,TCF4,0.333407
MEF2A,0.260247,0.9,null,0.0,null,NFATC2,0.251236
MEF2A,0.260247,0.5,null,0.0,null,MYF6,0.195684
ISG15,0.34541,0.5,null,0.0,null,MX1,0.398506
ISG15,0.34541,0.54,null,0.245,null,RPS5,0.181873
ISG15,0.34541,0.7,null,0.132,null,UBE2E1,0.245255
ISG15,0.34541,0.5,null,0.0,null,POLK,0.272498
ISG15,0.34541,0.5,null,0.0,null,RFC1,0.234768
RBBP6,0.318295,0.0,null,0.724,null,WDR33,0.26716
RBBP6,0.318295,0.0,null,0.501,null,TRA2A,0.213866
STK24,0.186249,0.0,null,0.734,null,TRAF3IP3,0.189182
DNM1L,0.262938,0.0,null,0.526,null,MFF,0.460141
TIGD7,0.21525,0.0,null,0.406,null,UACA,0.275435
GBP2,0.355018,0.9,null,0.292,null,GBP5,0.333919
PSMB10,0.222608,0.72,null,0.972,null,PSMB9,0.357485
PSMB10,0.222608,0.72,null,0.963,null,PSMB8,0.207839
PSMB10,0.222608,0.0,null,0.733,null,PSMD6,0.365664
PSMB10,0.222608,0.5,null,0.045,null,UBD,0.507589
PACSIN2,0.19994,0.0,null,0.571,null,RAI14,0.198418
KLC1,0.293324,0.5,null,0.0,null,RHOA,0.274713
AHNAK,0.338564,0.9,null,0.912,null,ANXA2,0.62036
AHNAK,0.338564,0.0,null,0.42,null,EZR,0.222498
HLA-DRA,0.374253,0.54,null,0.966,null,HLA-DRB5,0.367507
HLA-DRA,0.374253,0.5,null,0.0,null,LCK,0.376528
HLA-DRA,0.374253,0.9,null,0.973,null,HLA-DRB1,0.29988
HLA-DRA,0.374253,0.5,null,0.0,null,ZAP70,0.277147
HLA-DRA,0.374253,0.5,null,0.0,null,ITK,0.370003
HLA-DRA,0.374253,0.9,null,0.0,null,HLA-F,0.268994
HLA-DRA,0.374253,0.5,null,0.0,null,SEC24D,0.257655
HLA-DRA,0.374253,0.0,null,0.618,null,MBP,0.344296
CNOT8,0.185036,0.0,null,0.421,null,TNRC6B,0.215345
CNOT8,0.185036,0.0,null,0.44,null,UNK,0.195555
HLA-DMB,0.359901,0.54,null,0.247,null,HLA-DRB5,0.367507
HLA-DMB,0.359901,0.9,null,0.958,null,HLA-DRA,0.374253
HLA-DMB,0.359901,0.9,null,0.247,null,HLA-DPB1,0.42847
HLA-DMB,0.359901,0.9,null,0.946,null,HLA-DRB1,0.29988
HLA-DMB,0.359901,0.9,null,0.081,null,HLA-DPA1,0.25235
HLA-DMB,0.359901,0.54,null,0.29,null,HLA-DQB1,0.241651
HLA-DMB,0.359901,0.9,null,0.081,null,HLA-DOA,0.214613
HLA-DMB,0.359901,0.9,null,0.0,null,HLA-F,0.268994
HLA-DMB,0.359901,0.54,null,0.081,null,HLA-DQA1,0.312064
NRP1,0.793658,0.54,null,0.075,null,PLXNB2,0.373039
NRP1,0.793658,0.5,null,0.726,null,SEMA3A,0.803782
NRP1,0.793658,0.0,null,0.457,null,TGFBR2,0.276007
NRP1,0.793658,0.9,null,0.635,null,PLXNA2,0.295083
NRP1,0.793658,0.54,null,0.075,null,PLXNB3,0.574735
NRP1,0.793658,0.72,null,0.23,null,NRP2,0.414441
DNAJC7,0.336582,0.0,null,0.486,null,HNRNPD,0.271199
ALOX5,0.453987,0.0,null,0.457,null,DICER1,0.230595
ALOX5,0.453987,0.5,null,0.457,null,ALOX5AP,0.228486
NCOA3,0.243279,0.0,null,0.409,null,NR1H3,0.226518
NCOA3,0.243279,0.5,null,0.502,null,PPARG,0.441383
NCOA3,0.243279,0.8,null,0.23,null,NR5A2,0.336825
NCOA3,0.243279,0.0,null,0.457,null,NKX2-1,0.259167
LILRB2,0.503289,0.9,null,0.0,null,SYK,0.538072
LILRB2,0.503289,0.9,null,0.457,null,PTPN6,0.248021
LRCH1,0.277027,0.0,null,0.664,null,LRCH3,0.443192
TCF7,0.585482,0.9,0.9,0.0,0.0,TCF7L2,0.285741
TCF7,0.585482,0.54,null,0.0,null,TLE4,0.439975
TCF7,0.585482,0.5,null,0.0,null,TRRAP,0.21246
TCF7,0.585482,null,0.9,null,0.0,TCF7L1,null
COX7B2,0.816351,0.54,null,0.0,null,NDUFA4L2,0.392948
TEP1,0.273032,0.0,null,0.413,null,TRRAP,0.21246
GLMN,0.186822,0.54,null,0.343,null,ZSWIM6,0.345695
GLMN,0.186822,0.72,null,0.0,null,PRAME,0.641254
GLMN,0.186822,0.72,null,0.0,null,KLHL24,0.227152
PHF20L1,0.429271,0.54,null,0.0,null,TRRAP,0.21246
CALCOCO2,0.218792,0.0,null,0.457,null,TBKBP1,0.302064
MAP4K4,0.240732,0.0,null,0.457,null,RAP2C,0.215077
ATP6V1G1,0.183705,0.5,null,0.0,null,RRAGC,0.194649
ATP6V1G1,0.183705,0.54,null,0.328,null,TCIRG1,0.200151
ATP6V1G1,0.183705,0.5,null,0.0,null,RRAGB,0.462603
ATP6V1G1,0.183705,0.0,null,0.61,null,DMXL2,0.283724
ATP6V1G1,0.183705,0.54,null,0.0,null,ATP6V1G3,0.405414
DDA1,0.181576,0.72,null,0.0,null,GLMN,0.186822
IL7R,0.559269,0.4,null,0.0,null,TF,0.47949
SRRM2,0.200946,0.8,null,0.0,null,TCERG1,0.204647
LZTS1,0.602745,0.0,null,0.655,null,UNC119,0.19388
CCND3,0.250661,null,0.0,null,0.611,CREBBP,null
CCND3,0.250661,null,0.0,null,0.497,CTBP1,null
IQGAP1,0.225673,0.4,null,0.162,null,RHOA,0.274713
IQGAP1,0.225673,0.4,null,0.0,null,KSR1,0.181083
IQGAP1,0.225673,0.5,null,0.078,null,KRAS,0.384712
CPSF6,0.587802,0.54,null,0.19,null,WDR33,0.26716
CPSF6,0.587802,0.54,null,0.391,null,PCF11,0.255569
CPSF6,0.587802,0.5,null,0.0,null,PIK3CA,0.271021
CPSF6,0.587802,0.4,null,0.0,null,FGFR1OP2,0.180207
RANBP9,0.203922,0.0,null,0.47,null,TDGF1,0.453062
KLF10,0.197287,0.0,null,0.457,null,SIAH1,0.207217
CXCL11,0.769776,0.65,null,0.0,null,CXCR6,0.508915
CXCL11,0.769776,0.9,null,0.0,null,CXCL13,0.406986
PIK3AP1,0.301761,0.9,null,0.0,null,PIK3CA,0.271021
GNB5,0.263865,0.5,null,0.0,null,KCNJ16,0.900883
GNB5,0.263865,0.54,null,0.816,null,GNG2,0.209126
GNB5,0.263865,0.54,null,0.169,null,GNGT2,0.21966
GNB5,0.263865,0.5,null,0.0,null,PIK3R5,0.185246
GNB5,0.263865,0.5,null,0.0,null,OPN3,0.232037
GNB5,0.263865,0.54,null,0.169,null,GNG12,0.301449
GNB5,0.263865,0.8,null,0.789,null,RGS9,0.257165
GNB5,0.263865,0.5,null,0.973,null,RGS7,0.384397
GNB5,0.263865,0.5,null,0.0,null,GRIK3,0.218635
GNB5,0.263865,0.54,null,0.816,null,GNG4,0.351324
GNB5,0.263865,0.5,null,0.544,null,RGS6,0.288557
BTN3A1,0.250619,0.0,null,0.405,null,TFF1,0.319749
FGF5,0.18074,0.4,null,0.0,null,PIK3CA,0.271021
FGF5,0.18074,0.4,null,0.0,null,GAB1,0.24653
FGF5,0.18074,0.5,null,0.0,null,FLRT2,0.421881
FGF5,0.18074,0.4,null,0.0,null,FGF6,0.315649
FGF5,0.18074,0.4,null,0.308,null,FGFR3,0.218399
PTAR1,0.20631,0.0,null,0.61,null,RAB26,0.185877
EFNB1,0.66566,0.5,null,0.078,null,EPHA7,0.71634
EFNB1,0.66566,0.5,null,0.0,null,EPHA4,0.213477
EFNB1,0.66566,0.5,null,0.292,null,EPHA3,0.430081
EPAS1,0.631602,0.0,null,0.548,null,SMAD3,0.236565
EPAS1,0.631602,0.9,null,0.22,null,HIF1A,0.256829
LGALS1,0.457061,0.54,null,0.0,null,LGALS2,0.29573
EVL,0.275838,0.5,null,0.0,null,RHOA,0.274713
EVL,0.275838,0.5,null,0.0,null,SLIT2,0.338354
KLHL14,0.626586,0.0,null,0.666,null,KLHL28,0.217298
MDM4,0.235324,0.5,null,0.618,null,USP7,0.271541
MDM4,0.235324,0.0,null,0.457,null,YWHAH,0.234558
FBXW7,0.334255,0.0,null,0.457,null,MYCBP2,0.268434
FBXW7,0.334255,0.0,null,0.457,null,MFF,0.460141
FBXW7,0.334255,0.0,null,0.457,null,HECTD1,0.333877
FBXW7,0.334255,0.0,null,0.457,null,TRIP12,0.293897
FBXW7,0.334255,0.0,null,0.457,null,RICTOR,0.293794
FBXW7,0.334255,0.0,null,0.457,null,MED14,0.551394
EIF3B,0.21552,0.0,null,0.908,null,RPS5,0.181873
EIF3B,0.21552,0.0,null,0.502,null,USP3,0.19286
HLA-DPB1,0.42847,0.54,null,0.0,null,HLA-DRB5,0.367507
HLA-DPB1,0.42847,0.9,null,0.362,null,HLA-DRA,0.374253
HLA-DPB1,0.42847,0.5,null,0.0,null,LCK,0.376528
HLA-DPB1,0.42847,0.9,null,0.131,null,HLA-DRB1,0.29988
HLA-DPB1,0.42847,0.5,null,0.0,null,ZAP70,0.277147
HLA-DPB1,0.42847,0.54,null,0.0,null,HLA-DQB1,0.241651
HLA-DPB1,0.42847,0.5,null,0.0,null,ITK,0.370003
HLA-DPB1,0.42847,0.9,null,0.0,null,HLA-F,0.268994
HLA-DPB1,0.42847,0.54,null,0.353,null,HLA-DQA1,0.312064
HLA-DPB1,0.42847,0.5,null,0.0,null,SEC24D,0.257655
PPP3CC,0.251189,0.0,null,0.629,null,RCAN3,0.401824
PPP3CC,0.251189,null,0.9,null,0.782,PPP3R1,null
PPP3CC,0.251189,null,0.9,null,0.61,PPP3R2,null
SIAH1,0.207217,0.0,null,0.457,null,UBE2E2,0.192749
SUPT3H,0.267392,0.0,null,0.404,null,TEP1,0.273032
SUPT3H,0.267392,0.9,null,0.978,null,TRRAP,0.21246
SUPT3H,0.267392,0.0,null,0.409,null,WDR37,0.211071
TGFBR2,0.276007,0.5,null,0.0,null,ZFYVE9,0.341266
TGFBR2,0.276007,0.0,null,0.526,null,TGFBR3,0.182201
PAIP1,0.207518,0.0,null,0.422,null,TRA2A,0.213866
IFI35,0.226817,0.0,null,0.497,null,RPL28,0.205076
ARPC3,0.189228,0.0,null,0.617,null,DOCK8,0.284122
ARPC3,0.189228,0.9,null,0.963,null,ARPC5L,0.276438
ARPC3,0.189228,0.5,null,0.0,null,CYFIP2,0.189508
ARPC3,0.189228,0.5,null,0.0,null,WASF1,0.184221
ARPC3,0.189228,0.5,null,0.0,null,ITSN1,0.42444
HLA-DMA,0.258689,0.54,null,0.13,null,HLA-DRB5,0.367507
HLA-DMA,0.258689,0.9,null,0.952,null,HLA-DRA,0.374253
HLA-DMA,0.258689,0.9,null,0.96,null,HLA-DMB,0.359901
HLA-DMA,0.258689,0.9,null,0.13,null,HLA-DPB1,0.42847
HLA-DMA,0.258689,0.9,null,0.92,null,HLA-DRB1,0.29988
HLA-DMA,0.258689,0.9,null,0.0,null,HLA-DPA1,0.25235
HLA-DMA,0.258689,0.54,null,0.13,null,HLA-DQB1,0.241651
HLA-DMA,0.258689,0.9,null,0.488,null,HLA-DOA,0.214613
HLA-DMA,0.258689,0.9,null,0.0,null,HLA-F,0.268994
HLA-DMA,0.258689,0.54,null,0.0,null,HLA-DQA1,0.312064
HLA-DMA,0.258689,0.0,null,0.405,null,MBP,0.344296
PSMA6,0.217763,0.0,null,0.457,null,UBQLN2,0.207691
PSMA6,0.217763,0.72,null,0.98,null,PSMB9,0.357485
PSMA6,0.217763,0.72,null,0.946,null,PSMB10,0.222608
PSMA6,0.217763,0.72,null,0.97,null,PSMB8,0.207839
PSMA6,0.217763,0.0,null,0.734,null,UBQLN4,0.198048
PSMA6,0.217763,0.0,null,0.955,null,PSMD6,0.365664
PSMA6,0.217763,0.5,null,0.457,null,UBD,0.507589
CLNS1A,0.688292,0.9,null,0.621,null,SNRPE,0.257654
