p1.`gene.symbol`,p1.logFC,i.database,i.database_wnt,i.experimental,i.experimental_wnt,p2.`gene.symbol`,p2.logFC
AXIN1,null,null,0.9,null,0.946,SIAH1,0.207217
AXIN1,null,null,0.9,null,0.457,AXIN2,0.597976
AXIN1,null,null,0.5,null,0.457,LRP6,0.299816
AXIN1,null,null,0.5,null,0.564,BTRC,null
AXIN1,null,null,0.9,null,0.0,CACYBP,null
AXIN1,null,null,0.9,null,0.0,CSNK1A1L,null
AXIN1,null,null,0.9,null,0.457,CSNK1E,null
AXIN1,null,null,0.9,null,0.655,CTNNB1,null
AXIN1,null,null,0.72,null,0.0,CTNNBIP1,null
AXIN1,null,null,0.5,null,0.0,CUL1,null
AXIN1,null,null,0.9,null,0.457,DVL1,null
AXIN1,null,null,0.9,null,0.95,DVL2,null
AXIN1,null,null,0.9,null,0.457,DVL3,null
AXIN1,null,null,0.0,null,0.457,FBXW11,null
AXIN1,null,null,0.5,null,0.0,FZD1,null
AXIN1,null,null,0.5,null,0.0,FZD2,null
AXIN1,null,null,0.5,null,0.0,FZD5,null
AXIN1,null,null,0.9,null,0.777,GSK3B,null
AXIN1,null,null,0.5,null,0.457,LRP5,null
AXIN1,null,null,0.5,null,0.0,RBX1,null
AXIN1,null,null,0.5,null,0.0,SKP1,null
AXIN1,null,null,0.0,null,0.457,TP53,null
AXIN1,null,null,0.5,null,0.0,WNT1,null
AXIN1,null,null,0.5,null,0.0,WNT3A,null
AXIN1,null,null,0.5,null,0.0,WNT8A,null
AXIN1,null,null,0.5,null,0.0,WNT8B,null
BAMBI,null,null,0.9,null,0.292,LRP6,0.299816
BAMBI,null,null,0.9,null,0.0,FZD8,0.182239
BAMBI,null,null,0.9,null,0.0,FZD1,null
BAMBI,null,null,0.9,null,0.0,FZD10,null
BAMBI,null,null,0.9,null,0.0,FZD2,null
BAMBI,null,null,0.9,null,0.0,FZD3,null
BAMBI,null,null,0.9,null,0.0,FZD4,null
BAMBI,null,null,0.9,null,0.292,FZD5,null
BAMBI,null,null,0.9,null,0.0,FZD6,null
BAMBI,null,null,0.9,null,0.0,FZD7,null
BAMBI,null,null,0.9,null,0.0,FZD9,null
BAMBI,null,null,0.9,null,0.0,LRP5,null
BTRC,null,null,0.5,null,0.0,TCF7L2,0.285741
BTRC,null,null,0.5,null,0.0,TCF7,0.585482
BTRC,null,null,0.5,null,0.0,LEF1,0.22318
BTRC,null,null,0.0,null,0.421,CSNK2B,null
BTRC,null,null,0.8,null,0.0,CTBP1,null
BTRC,null,null,0.8,null,0.96,CTNNB1,null
BTRC,null,null,0.9,null,0.969,CUL1,null
BTRC,null,null,0.9,null,0.647,FBXW11,null
BTRC,null,null,0.5,null,0.507,GSK3B,null
BTRC,null,null,0.9,null,0.886,RBX1,null
BTRC,null,null,0.9,null,0.97,SKP1,null
BTRC,null,null,0.0,null,0.457,SMAD4,null
BTRC,null,null,0.5,null,0.0,TCF7L1,null
BTRC,null,null,0.0,null,0.457,TP53,null
CACYBP,null,null,0.9,null,0.96,SIAH1,0.207217
CACYBP,null,null,0.72,null,0.657,CTNNB1,null
CACYBP,null,null,0.72,null,0.0,CTNNBIP1,null
CACYBP,null,null,0.9,null,0.0,GSK3B,null
CACYBP,null,null,0.9,null,0.657,SKP1,null
CACYBP,null,null,0.0,null,0.657,TBL1X,null
CAMK2A,null,null,0.9,null,0.889,CAMK2B,null
CAMK2A,null,null,0.7,null,0.136,MAP3K7,null
CBY1,null,null,0.9,null,0.457,CTNNB1,null
CCND1,null,null,0.9,null,0.0,CCND3,0.250661
CCND1,null,null,0.9,null,0.0,CCND2,null
CCND1,null,null,0.9,null,0.292,CREBBP,null
CCND1,null,null,0.0,null,0.457,CUL1,null
CCND1,null,null,0.0,null,0.457,EP300,null
