#node	identifier	node_degree
CA5B	9606.ENSP00000314099	0
CACNA1D	9606.ENSP00000288139	5
CACNB4	9606.ENSP00000438949	4
CACNG1	9606.ENSP00000226021	3
CADM1	9606.ENSP00000329797	0
CALB2	9606.ENSP00000307508	0
CALCOCO2	9606.ENSP00000398523	1
CALCRL	9606.ENSP00000376177	1
CALD1	9606.ENSP00000354826	5
CALHM2	9606.ENSP00000260743	0
CALHM6	9606.ENSP00000357594	0
CALM1	9606.ENSP00000499717	24
CALML4	9606.ENSP00000419081	4
CAMK1D	9606.ENSP00000478874	1
CAMK2D	9606.ENSP00000425824	7
CAMK4	9606.ENSP00000282356	4
CAMSAP3	9606.ENSP00000416797	0
CAMTA1	9606.ENSP00000306522	0
CAPG	9606.ENSP00000263867	2
CAPN11	9606.ENSP00000381758	0
CAPN2	9606.ENSP00000295006	2
CAPN9	9606.ENSP00000271971	0
CAPS	9606.ENSP00000498855	0
CAPZA3	9606.ENSP00000326238	5
CARD14	9606.ENSP00000498071	1
CARD19	9606.ENSP00000364613	0
CARF	9606.ENSP00000414644	0
CARTPT	9606.ENSP00000296777	0
CASP1	9606.ENSP00000433138	5
CBL	9606.ENSP00000264033	29
CBLN1	9606.ENSP00000219197	0
CBS	9606.ENSP00000381231	0
CCDC122	9606.ENSP00000407763	0
CCDC186	9606.ENSP00000498136	0
CCDC39	9606.ENSP00000417960	0
CCDC40	9606.ENSP00000380679	0
CCDC50	9606.ENSP00000376249	0
CCDC54	9606.ENSP00000261058	0
CCDC7	9606.ENSP00000491655	0
CCDC74B	9606.ENSP00000308873	1
CCDC81	9606.ENSP00000415528	0
CCDC87	9606.ENSP00000328487	0
CCDC88A	9606.ENSP00000338728	0
CCKBR	9606.ENSP00000435534	2
CCL1	9606.ENSP00000225842	4
CCL14	9606.ENSP00000479097	0
CCL17	9606.ENSP00000219244	5
CCL5	9606.ENSP00000474412	6
CCL7	9606.ENSP00000367832	3
CCN5	9606.ENSP00000361959	0
CCND3	9606.ENSP00000362082	0
CCR1	9606.ENSP00000296140	8
CCR6	9606.ENSP00000343952	9
CCT8L2	9606.ENSP00000353048	2
CD14	9606.ENSP00000385519	3
CD160	9606.ENSP00000358294	2
CD163L1	9606.ENSP00000393474	0
CD19	9606.ENSP00000313419	5
CD24	9606.ENSP00000481841	0
CD247	9606.ENSP00000354782	21
CD248	9606.ENSP00000308117	0
CD28	9606.ENSP00000324890	3
CD3D	9606.ENSP00000300692	21
CD3G	9606.ENSP00000431445	23
CD4	9606.ENSP00000011653	25
CD44	9606.ENSP00000398632	8
CD47	9606.ENSP00000355361	2
CD48	9606.ENSP00000484431	0
CD5	9606.ENSP00000342681	3
